"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","","","NGAP","68","NGSetupRequest"
"2","0.004472","","","NGAP","66","NGSetupResponse"
"3","4.703503","","","NGAP/NAS-5GS","82","InitialUEMessage, Registration request"
"4","4.706309","","","NGAP/NAS-5GS","78","DownlinkNASTransport, Authentication request"
"5","4.744634","","","NGAP/NAS-5GS","76","UplinkNASTransport, Authentication response"
"6","4.760384","","","NGAP/NAS-5GS","55","DownlinkNASTransport, Security mode command"
"7","4.789145","","","NGAP/NAS-5GS","111","UplinkNASTransport"
"8","4.797486","","","NGAP/NAS-5GS","161","InitialContextSetupRequest"
"9","4.873991","","","NGAP","31","InitialContextSetupResponse"
"10","4.874032","","","NGAP","66","UERadioCapabilityInfoIndication"
"11","4.914814","","","NGAP/NAS-5GS","65","UplinkNASTransport"
"12","4.914833","","","NGAP/NAS-5GS","88","UplinkNASTransport"
"13","4.999504","","","NGAP/NAS-5GS","89","DownlinkNASTransport"
"14","5.005401","","","NGAP/NAS-5GS","170","PDUSessionResourceSetupRequest"
"15","5.041610","","","NGAP","52","PDUSessionResourceSetupResponse"
"16","5.041676","","","NGAP/NAS-5GS","65","UplinkNASTransport"
"17","97.042705","","","NGAP","35","NGReset"
"18","97.043911","","","NGAP","28","NGResetAcknowledge"
