modo,parametro_valor,prompt_id,tiempo_s,exito,error_sintactico,error_coherencia,reglas_incumplidas,notas
temperatura,0.1,1,27.44,True,False,False,,
temperatura,0.1,2,40.71,True,False,False,,
temperatura,0.1,3,34.54,True,False,False,,
temperatura,0.1,4,37.38,True,False,False,,
temperatura,0.1,5,29.72,True,False,False,,
temperatura,0.1,6,46.72,True,False,False,,
temperatura,0.1,7,30.27,True,False,False,,
temperatura,0.1,8,31.3,True,False,False,,
temperatura,0.1,9,33.23,True,False,False,,
temperatura,0.1,10,32.09,True,False,False,,
temperatura,0.1,11,34.57,True,False,False,,
temperatura,0.1,12,36.36,True,False,False,,
temperatura,0.1,13,26.05,True,False,False,,
temperatura,0.1,14,33.08,True,False,False,,
temperatura,0.1,15,26.52,True,False,False,,
temperatura,0.1,16,21.48,False,True,False,,"VALIDATION_ERROR: La solicitud de ancho de banda de 20 MHz es inconsistente con la tasa de muestreo (srate) de 11.52e6 especificada en el bloque ru_sdr del gNB. Para 20 MHz con 15 kHz SCS, se requiere una srate de 23.04e6. El bloque ru_sdr es INMUTABLE según la REGLA 6, lo que impide ajustar la srate para soportar 20 MHz."
temperatura,0.1,17,40.46,True,False,False,,
temperatura,0.1,18,28.8,True,False,False,,
temperatura,0.1,19,28.02,True,False,False,,
temperatura,0.1,20,43.83,True,False,False,,
temperatura,0.2,1,34.11,True,False,False,,
temperatura,0.2,2,28.08,False,True,False,,"VALIDATION_ERROR: Ancho de banda de 20 MHz no es compatible con la tasa de muestreo (srate) inmutable de 11.52e6 MHz definida en el bloque ru_sdr. Para 20 MHz, se requiere una srate de 30.72e6 MHz."
temperatura,0.2,3,27.79,False,True,False,,"VALIDATION_ERROR: El ancho de banda solicitado (20 MHz) es inconsistente con el srate fijo de 11.52e6 en el bloque ru_sdr del gNB, que es inmutable según la REGLA 6. Para 20 MHz, se requiere un srate de 23.04e6."
temperatura,0.2,4,38.35,True,False,False,,
temperatura,0.2,5,30.48,True,False,False,,
temperatura,0.2,6,29.75,True,False,False,,
temperatura,0.2,7,35.69,True,False,False,,
temperatura,0.2,8,32.06,True,False,False,,
temperatura,0.2,9,39.66,True,False,False,,
temperatura,0.2,10,36.99,True,False,False,,
temperatura,0.2,11,45.8,True,False,False,,
temperatura,0.2,12,39.03,True,False,False,,
temperatura,0.2,13,27.8,True,False,False,,
temperatura,0.2,14,26.43,True,False,False,,
temperatura,0.2,15,28.45,True,False,False,,
temperatura,0.2,16,28.04,True,False,False,,
temperatura,0.2,17,43.65,True,False,False,,
temperatura,0.2,18,43.94,True,False,False,,
temperatura,0.2,19,39.48,True,False,False,,
temperatura,0.2,20,49.72,True,False,False,,
temperatura,0.3,1,33.37,True,False,False,,
temperatura,0.3,2,33.84,True,False,False,,
temperatura,0.3,3,42.53,True,False,False,,
temperatura,0.3,4,20.66,False,True,False,,"VALIDATION_ERROR: El ancho de banda solicitado (20 MHz) es incompatible con el srate inmutable (11.52e6) del bloque ru_sdr. Para 20 MHz, se requiere un srate de 30.72e6. La REGLA 6 prohíbe alterar el bloque ru_sdr."
temperatura,0.3,5,24.64,False,True,False,,"VALIDATION_ERROR: El ancho de banda de 20 MHz solicitado no es compatible con la configuración inmutable del bloque ru_sdr. La regla 6 del CAG establece que el campo 'srate' (actualmente 11.52e6) no debe alterarse. Con este srate, el ancho de banda máximo soportado es de 10 MHz. Por favor, ajuste su petición a 10 MHz de ancho de banda o revise la regla de inmutabilidad del srate si es posible."
temperatura,0.3,6,29.68,True,False,False,,
temperatura,0.3,7,30.47,True,False,False,,
temperatura,0.3,8,35.32,True,False,False,,
temperatura,0.3,9,31.98,True,False,False,,
temperatura,0.3,10,30.93,True,False,False,,
temperatura,0.3,11,37.26,True,False,False,,
temperatura,0.3,12,36.16,False,True,False,,"VALIDATION_ERROR: La REGLA 2 establece que para Banda 78, el dl_arfcn debe estar en el rango [620000, 653333]. Sin embargo, este rango de ARFCN corresponde a frecuencias entre 3100 MHz y 3266.665 MHz, las cuales no se encuentran dentro del rango de frecuencia de la Banda 78 (3300-3800 MHz) según la especificación 3GPP TS 38.101. Por lo tanto, no es posible seleccionar un dl_arfcn que cumpla simultáneamente con la REGLA 2 y la definición de Banda 78."
temperatura,0.3,13,24.74,True,False,False,,
temperatura,0.3,14,37.56,True,False,False,,
temperatura,0.3,15,31.49,True,False,False,,
temperatura,0.3,16,29.27,True,False,False,,
temperatura,0.3,17,26.26,True,False,False,,
temperatura,0.3,18,35.71,True,False,False,,
temperatura,0.3,19,16.96,False,True,False,,"VALIDATION_ERROR: El ancho de banda de 20 MHz solicitado es incompatible con el srate fijo de 11.52e6 MHz en el bloque ru_sdr (Regla 6). Para un ancho de banda de 20 MHz con 15 kHz de SCS, se requiere un srate de 30.72 Msps. Por favor, solicita un ancho de banda compatible (ej. 10 MHz) o ajusta el srate si fuera posible (lo cual no es en este caso debido a la inmutabilidad del bloque ru_sdr)."
temperatura,0.3,20,43.94,True,False,False,,
temperatura,0.4,1,39.59,True,False,False,,
temperatura,0.4,2,57.27,True,False,False,,
temperatura,0.4,3,35.61,True,False,False,,
temperatura,0.4,4,35.63,True,False,False,,
temperatura,0.4,5,43.88,True,False,False,,
temperatura,0.4,6,39.27,True,False,False,,
temperatura,0.4,7,36.97,True,False,False,,
